% Flag	PWM	Center	3dB_BeamWidth	3dB_Gain	5dB_BeamWidth	5dB_Gain	10dB_BeamWidth	10dB_Gain	Max_dBm	
% 1	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 2	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 3	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 4	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 5	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 6	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 7	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 8	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 9	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 10	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 11	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 12	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 13	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 14	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 15	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 16	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 17	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 18	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 19	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 20	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 21	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 22	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 23	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 24	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 25	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
% 26	400	-25.493	2.048	38.689	None	2.57	36.714	None	3.555	33.897	None	0.093	
%
Timestamp,UAS_lat,UAS_lon,UAS_alt,Flag,P_az,P_el,dBm,dBi
1597237899.752,55.4759347,10.325534116271692,210.62516163826933,1,-3.389774256160147,-2.985610641602162,-51.74,24.56
1597237899.852,55.4759347,10.325537990101154,210.63450024084244,1,-3.361695381882126,-2.9850748711753496,-51.511653500439294,24.79
1597237899.952,55.47593466779991,10.325541652403917,210.64322000932827,1,-3.3351550192878228,-2.9844191404320344,-51.204720153808594,25.1
1597237900.0519998,55.4759346,10.325545320863295,210.65,1,-3.308580103399816,-2.983791305948911,-50.89451660661342,25.41
1597237900.1519997,55.4759346,10.325551022994663,210.65,1,-3.2672825324901353,-2.9844545944901943,-50.60128101348877,25.7
1597237900.2519996,55.47593454716951,10.325555271711252,210.65528304942592,1,-3.2365045803856853,-2.984127108375181,-50.27328132629395,26.03
1597237900.3519995,55.4759345,10.325559370814448,210.66,1,-3.2068099010365274,-2.983870276616181,-49.97696147918701,26.33
1597237900.4519994,55.47593444779657,10.325563896951039,210.6652203432678,1,-3.1740206327334772,-2.9835848336083077,-49.79258157179279,26.51
1597237900.5519993,55.4759344,10.325568060731861,210.67468348150052,1,-3.1438439773336233,-2.9828311725395706,-49.60400177001953,26.7
1597237900.6519992,55.47593434883683,10.325572651179321,210.68,1,-3.1105865548682217,-2.982548275638372,-49.37047819982516,26.93
1597237900.7519991,55.4759343,10.325577210835515,210.68547917162365,1,-3.0775504731275958,-2.9822562440335374,-49.13238305183526,27.17
1597237900.851999,55.475934252374316,10.325581295530096,210.69,1,-3.047956109187517,-2.9820162251711038,-48.767808175631274,27.54
1597237900.951999,55.4759342,10.325585378693493,210.6940424852116,1,-3.0183735774602876,-2.9818028458972137,-48.34488645088862,27.96
1597237901.0519989,55.47593415549762,10.325590002607022,210.704450237826,1,-2.984857306024478,-2.981019500201908,-48.01808242797851,28.29
1597237901.1519988,55.4759341,10.325594818823818,210.71,1,-2.9499594064472476,-2.980716659838643,-47.75333888382197,28.55
1597237901.2519987,55.47593405354698,10.325599090386117,210.71,1,-2.9190181500759644,-2.980981656267785,-47.308894607574146,29.0
1597237901.3519986,55.47593394919331,10.325603735494493,210.71,1,-2.8853735941137035,-2.9810010745951825,-47.10081604962202,29.2
1597237901.4519985,55.4759339,10.32560837839063,210.7155075347344,1,-2.851727473161062,-2.9807140175274665,-46.74291967349758,29.56
1597237901.5519984,55.4759339,10.325612704745541,210.72,1,-2.820373382239318,-2.9807428934626428,-46.39560440063477,29.91
1597237901.6519983,55.4759338441525,10.32561751313761,210.72,1,-2.785539188120132,-2.981023434040044,-46.09097424696305,30.21
1597237901.7519982,55.4759338,10.32562216754995,210.72,1,-2.7518188916582735,-2.981344435116338,-45.703878068195365,30.6
1597237901.851998,55.4759338,10.325626466643998,210.7253622695619,1,-2.720659094244661,-2.9812782899383348,-45.52576339721679,30.78
1597237901.951998,55.47593375235442,10.325630744050873,210.73,1,-2.6896592177770295,-2.981048317562089,-45.259199721588786,31.05
1597237902.051998,55.4759337,10.325635009108604,210.73424246356421,1,-2.658749052398843,-2.9808351483021163,-44.99306948949515,31.31
1597237902.1519978,55.4759337,10.325639723309385,210.74461588996442,1,-2.624570430687985,-2.980288226452271,-44.76339175226017,31.54
1597237902.2519977,55.4759337,10.325644481040875,210.7550689797214,1,-2.590076466546227,-2.979737993094588,-44.543658062147806,31.76
1597237902.3519976,55.4759337,10.325648734923558,210.76,1,-2.5592444985886083,-2.9797121755276144,-44.22619786482794,32.08
1597237902.4519975,55.47593366009412,10.325652995764438,210.76,1,-2.528371667720843,-2.9800085800299203,-44.02840385437012,32.28
1597237902.5519974,55.4759336,10.325657287038558,210.76345008382182,1,-2.4972706369364595,-2.9798435313331773,-43.76232921600342,32.54
1597237902.6519973,55.4759336,10.325661905164282,210.77,1,-2.463795577798003,-2.979689177205054,-43.46712228775024,32.84
1597237902.7519972,55.47593355766145,10.325666747573083,210.77423385452687,1,-2.428698845450725,-2.9795941160930886,-43.377172996018224,32.93
1597237902.8519971,55.4759335,10.32567152869409,210.7847304313099,1,-2.394033406769682,-2.9787543409166704,-43.093708908024944,33.21
1597237902.951997,55.47593344668181,10.325676299318637,210.79533181919274,1,-2.3594435850630937,-2.977923992900842,-42.85887754905844,33.45
1597237903.051997,55.4759334,10.325680532426931,210.80473872651427,1,-2.3287508256994243,-2.977190370368662,-42.690948531565155,33.61
1597237903.1519969,55.47593335825333,10.325684778600138,210.81,1,-2.2979708728881003,-2.976920525332717,-42.5369440139667,33.77
1597237903.2519968,55.475933255253224,10.325689458351722,210.8144746776541,1,-2.264046526869809,-2.9764784376581335,-42.26275088733959,34.04
1597237903.3519967,55.47593315045692,10.325694179895653,210.8249543083004,1,-2.2298074764086055,-2.9753984033238616,-42.26,34.04
1597237903.4519966,55.4759331,10.325698405447014,210.83445654892083,1,-2.199167316411333,-2.974635085603939,-42.08600818634033,34.22
1597237903.5519965,55.47593305114372,10.325703098532541,210.84488562787112,1,-2.1651375392449204,-2.973836343260077,-41.94637963790372,34.36
1597237903.6519964,55.47593294637201,10.325707759631467,210.8553627987855,1,-2.131334507265358,-2.9727497422772258,-41.86400714874267,34.44
1597237903.7519963,55.4759329,10.325712004567444,210.8648990387673,1,-2.100553352402577,-2.9720055688375635,-41.664007339477536,34.64
1597237903.8519962,55.47593285676166,10.32571624572545,210.87432383433486,1,-2.069799975411006,-2.9712883890227237,-41.47334075079047,34.83
1597237903.951996,55.47593276363574,10.325720400027556,210.88,1,-2.0396766960580917,-2.9707077430610944,-41.39677546131173,34.91
1597237904.051996,55.475932663241025,10.325724854153833,210.88,1,-2.0073879521876425,-2.9707247655604596,-41.26480949401856,35.04
1597237904.151996,55.4759326,10.325729644729671,210.88432162149286,1,-1.972657509020196,-2.9705102847510547,-41.05218233626998,35.25
1597237904.2519958,55.475932552998536,10.325734315065901,210.89,1,-1.938797888749825,-2.9702196974859465,-40.93121478040508,35.37
1597237904.3519957,55.47593244928836,10.325738982023765,210.89,1,-1.9049634817290062,-2.970244936204603,-40.79536586761474,35.51
1597237904.4519956,55.47593235528217,10.325743212302342,210.89,1,-1.8742938141369243,-2.970267815264155,-40.64841928391128,35.66
1597237904.5519955,55.4759323,10.325747967537094,210.89,1,-1.8398243536293433,-2.970545058230143,-40.53488133359178,35.77
1597237904.6519954,55.47593224448162,10.325752698327216,210.8955518382593,1,-1.8055236194873243,-2.9702323634972156,-40.47015930884815,35.83
1597237904.7519953,55.4759322,10.325756950927794,210.9,1,-1.774691437831147,-2.9700356154599876,-40.430789222716996,35.87
1597237904.8519952,55.47593214676321,10.325761595655372,210.9,1,-1.74102196279202,-2.9703102105609687,-40.39080188751221,35.91
1597237904.9519951,55.4759321,10.325766183196567,210.9,1,-1.7077676029461268,-2.970610460390748,-40.30468760584541,36.0
1597237905.051995,55.4759321,10.325770097068052,210.9,1,-1.6794034535339966,-2.971065739431785,-40.16283187814487,36.14
1597237905.151995,55.4759321,10.325774107326543,210.90290517009697,1,-1.650337273967786,-2.971225641069318,-39.9962750362831,36.31
1597237905.2519948,55.4759321,10.325779422723786,210.91461461692427,1,-1.6118022068377018,-2.970608289951924,-39.89310066738192,36.41
1597237905.3519948,55.4759321,10.32578417004964,210.92504455475418,1,-1.5773865419180966,-2.9700599193216397,-39.843442573547364,36.46
1597237905.4519947,55.475932054972276,10.325788426247765,210.93450277281164,1,-1.5465227122240004,-2.9693322645442577,-39.76613378761106,36.54
1597237905.5519946,55.475932,10.325793085021816,210.94485560403598,1,-1.5127386701557877,-2.96850744085069,-39.64441798688511,36.66
1597237905.6519945,55.475932,10.325797695013572,210.95521593993595,1,-1.4793204589798195,-2.9679505481266553,-39.51832044601441,36.79
1597237905.7519944,55.475932,10.325801878805763,210.9646195683594,1,-1.448992673095537,-2.967445053890988,-39.5103204536438,36.79
1597237905.8519943,55.475931949173116,10.325806536382904,210.97508268841904,1,-1.4152196231385932,-2.9666292501561347,-39.35000951782653,36.95
1597237905.9519942,55.47593186081853,10.325810463166135,210.98391814696728,1,-1.386735098210176,-2.96571288983649,-39.31128938230397,36.99
1597237906.051994,55.47593179018634,10.325813631800958,210.99147204871934,1,-1.3637496346978781,-2.964932010162444,-39.23670360594433,37.07
1597237906.151994,55.475931672150594,10.3258188253739,211.00917741102575,1,-1.3260687619099727,-2.963079136119829,-39.096078109741214,37.21
1597237906.251994,55.47593155253083,10.3258241361126,211.02474691688695,1,-1.2875405937851239,-2.9614573663472,-39.128078079223634,37.18
